"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.DescriptionTest","io.klvl.annotations.DescriptionTest","testDescriptionMultiParagraph","testDescriptionMultiParagraph","The purpose of this test is to demonstrate how to add
multi-paragraph description to
allure report
"
"passed","Thu Feb 09 16:20:43 GMT 2023","Thu Feb 09 16:20:43 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.AttachmentTest","io.klvl.annotations.AttachmentTest","testStringAttachment","testStringAttachment",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.MultipleFeaturesTest","io.klvl.annotations.epic.feature.story.MultipleFeaturesTest","testMultipleFeatures","testMultipleFeatures",""
"passed","Thu Feb 09 16:20:43 GMT 2023","Thu Feb 09 16:20:43 GMT 2023","2","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testCriticalSeverity","testCriticalSeverity",""
"unknown","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.IssueTest","io.klvl.annotations.IssueTest","testIssuePattern","testIssuePattern",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testMultipleLinks","testMultipleLinks",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","testSignInWithInvalidPassword","testSignInWithInvalidPassword",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","6","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachment","testAddAttachment",""
"failed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","3","Surefire suite","Surefire test","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testSimpleCategory","testSimpleCategory",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignUpWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignUpWithCredentialsTest","testSignUpWithCredentialsWhenAccountExists","testSignUpWithCredentialsWhenAccountExists",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testDefaultLinkUsage","testDefaultLinkUsage",""
