"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","testValidSignUpWithGoogle","testValidSignUpWithGoogle",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithGoogleTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithGoogleTest","testSignInWithNonExistingGoogleAccount","testSignInWithNonExistingGoogleAccount",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.ParametersTest","io.klvl.annotations.ParametersTest","testParameters","testParameters",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.allurelifecycle.DescriptionTest","io.klvl.allurelifecycle.DescriptionTest","testDescription","testDescription","The purpose of this test is to demonstrate how to add description to a report!"
"unknown","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.IssueTest","io.klvl.annotations.IssueTest","testIssue","testIssue",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.descriptive.TestActionsNamesTest","io.klvl.descriptive.TestActionsNamesTest","testDescriptiveName","As allure user I can set descriptive name for my test",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.allurelifecycle.TmsLinkTest","io.klvl.allurelifecycle.TmsLinkTest","testTmsLink","testTmsLink",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachmentWithExtension","testAddAttachmentWithExtension",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.TmsLinkTest","io.klvl.annotations.TmsLinkTest","testMultipleTmsLinks","testMultipleTmsLinks",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","7","Surefire suite","Surefire test","io.klvl.allurelifecycle.StepTest","io.klvl.allurelifecycle.StepTest","testStepAsLambda","testStepAsLambda",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","4","Surefire suite","Surefire test","io.klvl.SimpleTest","io.klvl.SimpleTest","testDescriptiveTestName","As a user I see descriptive test name in a report",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","testSignInWithValidCredentials","testSignInWithValidCredentials",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithGoogleTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithGoogleTest","testValidSignInWithGoogle","testValidSignInWithGoogle",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.TmsLinkTest","io.klvl.annotations.TmsLinkTest","testTmsLink","testTmsLink",""
"failed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","14","Surefire suite","Surefire test","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testCategoryByMessageRegExp","testCategoryByMessageRegExp",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachmentWithType","testAddAttachmentWithType",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","3","Surefire suite","Surefire test","io.klvl.annotations.StepTest","io.klvl.annotations.StepTest","testDescriptiveName","As allure user I can set descriptive name for my test",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.ParametersTest","io.klvl.allurelifecycle.ParametersTest","testParameters","testParameters",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Suite name","io.klvl.allurelifecycle.EpicFeatureStorySuiteTest","io.klvl.allurelifecycle.EpicFeatureStorySuiteTest","testEpicFeatureStorySuite","testEpicFeatureStorySuite",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.DescriptionTest","io.klvl.annotations.DescriptionTest","testDescriptionDefaultUsage","testDescriptionDefaultUsage","The purpose of this test is to demonstrate how to add description to a report"
"failed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testCategoryByMessageRegExp2","testCategoryByMessageRegExp2",""
"passed","Thu Feb 09 16:20:43 GMT 2023","Thu Feb 09 16:20:43 GMT 2023","14","Surefire suite","Surefire test","io.klvl.annotations.AttachmentTest","io.klvl.annotations.AttachmentTest","testJsonAttachment","testJsonAttachment",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.ParametersTest","io.klvl.annotations.ParametersTest","testParameters","testParameters",""
"passed","Thu Feb 09 16:20:43 GMT 2023","Thu Feb 09 16:20:43 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testMinorSeverity","testMinorSeverity",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignUpWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignUpWithCredentialsTest","testSignUpWithWeakPassword","testSignUpWithWeakPassword",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","28","Surefire suite","Surefire test","io.klvl.SimpleTest","io.klvl.SimpleTest","testSimple","testSimple",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.DescriptionTest","io.klvl.allurelifecycle.DescriptionTest","testDescriptionHtml","testDescriptionHtml",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","testSignInWithAlreadyExistingCredentials","testSignInWithAlreadyExistingCredentials",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","testSignInWithInvalidLogin","testSignInWithInvalidLogin",""
"passed","Thu Feb 09 16:20:43 GMT 2023","Thu Feb 09 16:20:43 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testNormalSeverity","testNormalSeverity",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.TmsLinkTest","io.klvl.annotations.TmsLinkTest","testTmsLinkPattern","testTmsLinkPattern",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.LinkTest","io.klvl.allurelifecycle.LinkTest","testLink","testLink",""
"unknown","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","5","Surefire suite","Surefire test","io.klvl.annotations.IssueTest","io.klvl.annotations.IssueTest","testMultipleIssues","testMultipleIssues",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testLinkAsText","testLinkAsText",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","5","Surefire suite","Surefire test","io.klvl.annotations.StepTest","io.klvl.annotations.StepTest","testParametrizedSepName","testParametrizedSepName",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","testSignUpWithGoogleWhenAccountAlreadyExists","testSignUpWithGoogleWhenAccountAlreadyExists",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.allurelifecycle.IssueTest","io.klvl.allurelifecycle.IssueTest","testIssue","testIssue",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignUpWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignUpWithCredentialsTest","testValidSignUpWithCredentials","testValidSignUpWithCredentials",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testSimpleAttach","testSimpleAttach",""
"passed","Thu Feb 09 16:20:42 GMT 2023","Thu Feb 09 16:20:42 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.MultipleStoriesTest","io.klvl.annotations.epic.feature.story.MultipleStoriesTest","testMultipleStories","testMultipleStories",""
"passed","Thu Feb 09 16:20:43 GMT 2023","Thu Feb 09 16:20:43 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testBlockerSeverity","testBlockerSeverity",""
"passed","Thu Feb 09 16:20:43 GMT 2023","Thu Feb 09 16:20:43 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testTrivialSeverity","testTrivialSeverity",""
